,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
84,0.15,0.2,0.25,-0.021,0.016,-0.93,0.029,-1.934,-2.726,97902.541,0.023,478,0.979,0.023,0.611
85,0.15,0.3,0.25,-0.024,0.018,-0.863,0.036,-1.684,-2.655,97617.337,0.028,470,0.976,0.028,0.672
86,0.15,0.4,0.25,-0.028,0.018,-0.819,0.045,-1.501,-2.727,97265.05,0.033,456,0.973,0.033,0.719
87,0.15,0.5,0.25,-0.022,0.019,-0.614,0.044,-1.266,-2.388,97838.629,0.035,450,0.978,0.035,0.733
88,0.25,0.2,0.25,-0.0,0.019,0.006,0.03,-0.831,-1.205,99978.614,0.027,468,1.0,0.027,0.491
89,0.25,0.3,0.25,-0.01,0.022,-0.272,0.035,-0.955,-1.442,99049.059,0.033,454,0.99,0.033,0.559
90,0.25,0.4,0.25,-0.001,0.023,-0.005,0.04,-0.596,-1.02,99908.061,0.039,438,0.999,0.039,0.589
91,0.25,0.5,0.25,0.017,0.022,0.437,0.041,-0.117,-0.215,101712.733,0.041,430,1.017,0.041,0.6
92,0.35,0.2,0.25,-0.03,0.025,-0.923,0.048,-1.628,-2.11,97031.132,0.032,460,0.97,0.032,0.448
93,0.35,0.3,0.25,-0.042,0.029,-1.075,0.064,-1.657,-2.23,95832.86,0.039,444,0.958,0.039,0.518
94,0.35,0.4,0.25,-0.039,0.03,-0.88,0.06,-1.4,-2.063,96151.863,0.044,428,0.962,0.044,0.551
95,0.35,0.5,0.25,-0.025,0.03,-0.531,0.061,-1.025,-1.582,97498.137,0.046,418,0.975,0.046,0.569
96,0.45,0.2,0.25,-0.062,0.034,-1.593,0.074,-2.165,-2.555,93823.541,0.04,456,0.938,0.04,0.421
97,0.45,0.3,0.25,-0.083,0.039,-1.814,0.098,-2.299,-2.803,91785.269,0.047,440,0.918,0.047,0.495
98,0.45,0.4,0.25,-0.077,0.039,-1.519,0.09,-1.963,-2.572,92424.271,0.051,424,0.924,0.051,0.528
99,0.45,0.5,0.25,-0.064,0.039,-1.21,0.083,-1.637,-2.221,93660.546,0.053,414,0.937,0.053,0.546
100,0.05,0.2,0.3,-0.01,0.008,-0.802,0.022,-2.621,-4.124,99001.454,0.013,348,0.99,0.013,0.667
101,0.05,0.3,0.3,-0.011,0.008,-0.797,0.023,-2.491,-4.159,98933.986,0.013,344,0.989,0.013,0.698
102,0.05,0.4,0.3,0.001,0.008,0.043,0.017,-1.381,-2.756,100055.308,0.016,342,1.001,0.016,0.702
103,0.05,0.5,0.3,-0.018,0.008,-1.199,0.035,-2.751,-4.84,98258.531,0.015,336,0.983,0.015,0.726
104,0.15,0.2,0.3,-0.013,0.014,-0.678,0.026,-1.85,-2.587,98681.729,0.019,344,0.987,0.019,0.581
105,0.15,0.3,0.3,-0.019,0.015,-0.804,0.036,-1.793,-2.751,98155.416,0.023,338,0.982,0.023,0.663
106,0.15,0.4,0.3,-0.006,0.015,-0.201,0.035,-1.075,-1.851,99447.619,0.026,334,0.994,0.026,0.689
107,0.15,0.5,0.3,-0.022,0.016,-0.859,0.044,-1.759,-2.861,97834.68,0.025,324,0.978,0.025,0.716
108,0.25,0.2,0.3,-0.014,0.018,-0.554,0.03,-1.501,-2.037,98656.761,0.024,336,0.987,0.024,0.494
109,0.25,0.3,0.3,-0.03,0.02,-1.078,0.05,-1.901,-2.668,97044.724,0.028,324,0.97,0.028,0.574
110,0.25,0.4,0.3,-0.001,0.02,-0.015,0.042,-0.753,-1.191,99906.927,0.031,320,0.999,0.031,0.581
111,0.25,0.5,0.3,-0.01,0.02,-0.297,0.047,-1.018,-1.613,99023.988,0.032,310,0.99,0.032,0.606
112,0.35,0.2,0.3,-0.03,0.022,-1.078,0.049,-1.885,-2.385,96985.329,0.028,336,0.97,0.028,0.446
113,0.35,0.3,0.3,-0.055,0.026,-1.685,0.075,-2.372,-3.042,94554.835,0.033,322,0.946,0.033,0.534
114,0.35,0.4,0.3,-0.031,0.025,-0.877,0.059,-1.521,-2.112,96907.038,0.035,318,0.969,0.035,0.547
115,0.35,0.5,0.3,-0.038,0.026,-1.049,0.063,-1.672,-2.336,96204.098,0.037,308,0.962,0.037,0.571
