,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
16,0.45,0.2,0.05,0.029,0.042,0.534,0.041,0.136,0.185,102910.45,0.057,1062,1.029,0.057,0.633
17,0.45,0.3,0.05,0.041,0.044,0.676,0.041,0.305,0.424,104010.49,0.061,964,1.04,0.061,0.56
18,0.45,0.4,0.05,0.033,0.051,0.5,0.049,0.175,0.239,103287.269,0.07,904,1.033,0.07,0.522
19,0.45,0.5,0.05,0.028,0.052,0.416,0.054,0.101,0.14,102761.476,0.072,852,1.028,0.072,0.5
20,0.05,0.2,0.1,0.001,0.017,0.047,0.023,-0.79,-1.268,100089.289,0.027,1214,1.001,0.027,0.259
21,0.05,0.3,0.1,0.011,0.019,0.345,0.022,-0.35,-0.62,101075.015,0.033,1188,1.011,0.033,0.219
22,0.05,0.4,0.1,-0.003,0.019,-0.072,0.028,-0.732,-1.326,99695.255,0.035,1172,0.997,0.035,0.189
23,0.05,0.5,0.1,-0.006,0.019,-0.138,0.027,-0.769,-1.437,99441.158,0.036,1162,0.994,0.036,0.184
24,0.15,0.2,0.1,0.013,0.028,0.337,0.033,-0.221,-0.328,101289.264,0.041,1148,1.013,0.041,0.441
25,0.15,0.3,0.1,0.038,0.03,0.824,0.038,0.333,0.511,103754.138,0.046,1076,1.038,0.046,0.377
26,0.15,0.4,0.1,0.039,0.031,0.802,0.04,0.333,0.523,103819.516,0.049,1036,1.038,0.049,0.334
27,0.15,0.5,0.1,0.051,0.031,0.98,0.039,0.54,0.889,105021.347,0.052,1002,1.05,0.052,0.315
28,0.25,0.2,0.1,-0.001,0.034,0.005,0.046,-0.475,-0.662,99912.128,0.047,1094,0.999,0.047,0.53
29,0.25,0.3,0.1,0.024,0.04,0.455,0.057,0.044,0.061,102376.996,0.055,1006,1.024,0.055,0.469
30,0.25,0.4,0.1,-0.002,0.042,-0.005,0.059,-0.398,-0.552,99804.61,0.058,962,0.998,0.058,0.414
31,0.25,0.5,0.1,0.003,0.043,0.075,0.051,-0.294,-0.426,100272.527,0.062,920,1.003,0.062,0.389
